,id,avg_likes_per_orig_tweet,avg_retweets_per_orig_tweet,following_count,followers_count,female_pct_follower,female_pct_friend,twitter,gender,asstprof,assocprof,prof,academic,yrs_on_twitter,origtweets_year,new_following_year,followers_year,orig_likes_year,orig_rt_year,follower_to_following_ratio
0,0,3.090909091,2.303030303,19,84,0.654320988,0.368421053,1,male,0,0,0,,6,33,3.1666667,14,102,76,4.4210525
1,1,6.733333333,2.6,295,213,0.547263682,0.527210884,1,female,1,0,0,1,0.5,70,590,426,471.33334,182,0.7220339
2,2,1.5,0,14,0,,0.571428571,1,male,1,0,0,1,0.5,16,28,0,24,0,0
3,3,5.432530999,3.250626566,569,1637,0.384262295,0.38869258,1,male,0,1,0,1,6,331.16666,94.833336,272.83334,1799.0731,1076.4991,2.8769772
4,4,1,1,85,61,0.333333333,0.269230769,1,male,1,0,0,1,8.916667,1.3457944,9.53271,6.8411217,1.3457944,1.3457944,0.7176471
5,5,8.166666667,3.041666667,26,84,0.62195122,0.703703704,1,female,0,0,1,1,0.41666666,74.4,62.4,201.6,607.60004,226.3,3.2307692
6,6,6.947368421,4.76,25,70,0.485294118,0.44,1,female,1,0,0,1,0.41666666,115.2,60,168,800.3368,548.352,2.8
7,7,2.96875,1.615384615,22,48,0.162790698,0.25,1,female,0,0,1,1,8.916667,4.7102804,2.4672897,5.3831778,13.983645,7.6089144,2.1818182
8,8,4.777777778,2,93,51,0.836734694,0.747368421,1,female,1,0,0,1,1.5,12.666667,62,34,60.51852,25.333334,0.5483871
9,9,7.633333333,4.565217391,49,172,0.593939394,0.595744681,1,female,0,1,0,1,5.6666665,7.5882354,8.6470585,30.352942,57.92353,34.641945,3.510204
10,10,5.5,0,27,11,0.4,0.6,1,female,1,0,0,1,0.25,8,108,44,44,0,0.4074074
11,11,8.955789474,5.71641791,72,996,0.27442371,0.375,1,male,0,0,1,1,4.3333335,113.07692,16.615385,229.84616,1012.6931,646.39496,13.833333
12,12,4.268571429,2.24,306,1478,0.365412446,0.303754266,1,male,0,1,0,1,8.916667,27.813084,34.317757,165.757,118.72214,62.301308,4.8300653
13,13,8.942028986,3,330,508,0.501043841,0.450920245,1,male,1,0,0,1,1.8333334,44.18182,180,277.0909,395.0751,132.54546,1.5393939
14,14,4.117801047,3.117424242,183,1055,0.359002169,0.275280899,1,male,0,1,0,1,6.1666665,89.02702,29.675676,171.08109,366.59558,277.535,5.7650275
15,15,8.162162162,4.733333333,126,3001,0.469974829,0.416,1,male,0,1,0,1,8.916667,66.056076,14.130841,336.56076,539.1604,312.66544,23.817461
16,16,54.34682861,40.02272727,2800,1556,0.352987421,0.327654947,1,male,1,0,0,1,8.833333,116.37736,316.98114,176.15094,6324.74,4657.7393,0.5557143
17,17,2.307692308,2.571428571,82,54,0.576923077,0.62962963,1,female,1,0,0,1,3.5,9.714286,23.428572,15.428572,22.417583,24.979591,0.6585366
18,18,5.37704918,2.88372093,91,208,0.37,0.362637363,1,male,1,0,0,1,3.25,21.23077,28,64,114.1589,61.223618,2.2857144
19,19,2.879725086,2.28340081,90,2454,0.454629203,0.222222222,1,male,0,0,0,,8.916667,59.43925,10.093458,275.21497,171.1687,135.72363,27.266666
20,20,2.740740741,2.014925373,201,341,0.467948718,0.389162562,1,male,0,1,0,1,3.3333333,215.4,60.3,102.3,590.3555,434.01492,1.6965175
21,21,8.882352941,6.319327731,114,1228,0.488013699,0.330578512,1,male,0,0,1,1,5.9166665,31.605635,19.267605,207.5493,280.7324,199.72636,10.77193
22,22,4.202970297,3.073684211,1646,2712,0.428276999,0.350769231,1,male,0,0,1,1,1.75,1192.5714,940.5714,1549.7142,5012.3423,3665.588,1.6476306
23,23,12.71428571,8.109756098,125,1352,0.47411668,0.467741935,1,female,0,0,1,1,5.9166665,18.591549,21.12676,228.50705,236.37827,150.77293,10.816
24,24,1.333333333,1.5,323,78,0.545454545,0.585760518,1,female,0,0,1,1,5.5,7.090909,58.727272,14.181818,9.454545,10.636364,0.24148607
25,25,17.03571429,12.02777778,85,281,0.660516605,0.505882353,1,male,0,0,1,1,8.833333,7.245283,9.622642,31.811321,123.42857,87.14465,3.3058825
26,26,11.36239496,6.961741425,321,3439,0.405222437,0.270440252,1,male,0,1,0,1,5.9166665,208.73239,54.25352,581.23944,2371.7,1453.141,10.713396
27,27,2.677419355,2.231481481,377,647,0.399339934,0.398907104,1,male,0,0,1,1,5.8333335,44.228573,64.62857,110.91428,118.418434,98.695244,1.7161803
28,28,1,0,29,8,0.714285714,0.464285714,1,female,0,0,0,,1.8333334,6,15.818182,4.3636365,6,0,0.27586207
29,29,1.8,2.153846154,43,72,0.558823529,0.523809524,1,male,0,0,0,,5.9166665,5.915493,7.267606,12.169014,10.647887,12.741062,1.6744186
30,30,2.001156069,2.293515358,1394,3052,0.471853711,0.364157706,1,female,1,0,0,1,6.9166665,291.03613,201.54218,441.25302,582.40875,667.49585,2.189383
31,31,5.132882883,2.782828283,127,601,0.737213404,0.75,1,female,1,0,0,1,5.8333335,111.08572,21.77143,103.02857,570.18994,309.13248,4.7322836
32,32,3.41954023,2.719178082,161,993,0.623265742,0.579617834,1,female,0,0,1,1,5.8333335,46.8,27.6,170.22858,160.03448,127.25753,6.1677017
33,33,3.842105263,2,160,298,0.386986301,0.365384615,1,female,0,1,0,1,0.25,272,640,1192,1045.0526,544,1.8625
34,34,4.121710526,2.442307692,912,1009,0.606540084,0.576404494,1,male,1,0,0,1,7.8333335,94.34042,116.42553,128.80852,388.8439,230.40834,1.1063596
35,35,5.166666667,2.95,52,90,0.691489362,0.634615385,1,male,1,0,0,1,3.4166667,8.780488,15.219512,26.341463,45.365856,25.90244,1.7307693
36,36,4.272873194,2.805063291,721,1104,0.415708812,0.357344633,1,female,0,1,0,1,5.8333335,162.17143,123.6,189.25714,692.938,454.90112,1.5312066
37,37,1.742857143,2.166666667,48,155,0.513157895,0.595744681,1,female,1,0,0,1,5.75,14.782609,8.347826,26.956522,25.763975,32.028988,3.2291667
38,38,3.356725146,1.859649123,560,430,0.439506173,0.489208633,1,female,0,1,0,1,5.25,54.47619,106.666664,81.90476,182.86159,101.306595,0.76785713
39,39,3.630434783,2.59375,100,186,0.523529412,0.430107527,1,male,0,0,1,1,5.75,22.26087,17.391304,32.347828,80.816635,57.739132,1.86
40,40,5.50528169,3.198324022,304,1038,0.857727738,0.817880795,1,female,0,1,0,1,2.5833333,281.03226,117.67742,401.80646,1547.1617,898.8322,3.4144738
41,41,4.113821138,2.152542373,603,1872,0.362745098,0.301020408,1,male,0,0,1,1,5.75,35.47826,104.86957,325.56522,145.95122,76.36846,3.1044776
42,42,2.765,2.292589028,410,2746,0.438162544,0.416256158,1,female,0,0,1,1,5.75,382.08694,71.304344,477.56522,1056.4705,875.9683,6.697561
43,43,5.512696493,3.308333333,143,4343,,,1,male,1,0,0,1,5.75,160.17392,24.869566,755.3043,882.99023,529.9087,30.37063
44,44,1.214285714,1.125,17,35,0.517241379,0.294117647,1,female,0,0,1,1,5.75,25.913044,2.9565217,6.0869565,31.46584,29.152174,2.0588236
45,45,3.481185861,2.504155125,489,460,0.542997543,0.463983051,1,female,1,0,0,1,5.75,271.47827,85.04348,80,945.06635,679.8237,0.9406953
46,46,1.842767296,1.524137931,524,308,0.427083333,0.324902724,1,male,0,0,0,,5.75,318.6087,91.13043,53.565216,587.1217,485.6036,0.58778626
47,47,2.498031496,1.852507375,253,2692,0.610888711,0.479674797,1,male,0,1,0,1,1.5833334,670.1053,159.78947,1700.2106,1673.9441,1241.375,10.640316
48,48,3.696252465,2.761682243,1006,1234,0.639455782,0.624621594,1,male,1,0,0,1,7.1666665,207.76744,140.37209,172.18605,767.96094,573.78766,1.2266401
49,49,4,3.038461538,35,264,0.547717842,0.657142857,1,male,0,0,1,1,5.6666665,7.5882354,6.1764708,46.588234,30.352942,23.05656,7.542857
50,50,4.15,1.571428571,72,139,0.62406015,0.492753623,1,female,0,0,1,1,3.75,7.733333,19.2,37.066666,32.093334,12.152381,1.9305556
51,51,2.391625616,1.89869281,1106,713,0.513554217,0.513488372,1,female,0,0,0,,8.666667,152.3077,127.61539,82.26923,364.26297,289.18552,0.6446655
52,52,4.870967742,3.027027027,82,229,,,1,female,0,1,0,1,5.6666665,13.941176,14.470589,40.411766,67.90702,42.200317,2.792683
53,53,2.781671159,2.020242915,629,556,0.491362764,0.44911147,1,female,0,1,0,1,5.6666665,103.76471,111,98.117645,288.6393,209.62991,0.8839428
54,54,0,0,0,14,,,1,female,0,0,0,,5.4166665,0.36923078,0,2.5846155,0,0,
55,55,3.685950413,3.090909091,314,517,0.425887265,0.440894569,1,female,1,0,0,1,4.75,36.842106,66.10526,108.8421,135.79817,113.8756,1.6464968
56,56,5.389705882,3.886597938,397,1678,0.519143413,0.524547804,1,male,1,0,0,1,5.6666665,170.47058,70.05882,296.11765,918.7863,662.5506,4.2267003
57,57,6.852631579,4.055979644,854,1377,0.485235435,0.483909416,1,male,1,0,0,1,5.6666665,153,150.70589,243,1048.4526,620.5649,1.6124122
58,58,4.259259259,1.714285714,155,121,0.63559322,0.496732026,1,male,0,0,1,1,1.5833334,37.894737,97.89474,76.42105,161.4035,64.96241,0.78064513
59,59,21.15365449,8.946985447,1429,10648,0.377634907,0.327856609,1,male,0,0,0,,5.6666665,234.70589,252.17647,1879.0588,4964.887,2099.9102,7.4513645
60,60,2.454810496,2.073033708,302,485,0.466970387,0.37458194,1,female,1,0,0,1,5.6666665,175.76471,53.294117,85.588234,431.46906,364.36618,1.6059602
61,61,0,0,34,18,0.588235294,0.454545455,1,female,0,0,1,1,2.3333333,0,14.571428,7.714286,0,0,0.5294118
62,62,0,0,79,24,0.416666667,0.265822785,1,male,1,0,0,1,3.5,0.2857143,22.571428,6.857143,0,0,0.30379745
63,63,17.99337748,4.754237288,220,1430,0.554243542,0.526548673,1,female,0,0,1,1,4.1666665,39.36,52.8,343.2,708.21936,187.12679,6.5
64,64,0,0,23,12,0.555555556,0.590909091,1,female,0,0,0,,5.6666665,1.2352941,4.0588236,2.1176472,0,0,0.5217391
65,65,4.84057971,3.203389831,300,408,0.45844504,0.448028674,1,female,0,1,0,1,5.6666665,18.17647,52.941177,72,87.98465,58.22632,1.36
66,66,3.20990099,2.159793814,557,914,0.693208431,0.701275046,1,male,0,0,1,1,8.666667,191.65384,64.26923,105.46154,615.1898,413.93277,1.6409335
67,67,2.944827586,5.316176471,504,321,0.395104895,0.363449692,1,male,0,0,1,1,5.6666665,265.94116,88.94118,56.64706,783.1509,1413.7902,0.6369048
68,68,2.007142857,1.71875,219,213,0.832512315,0.76635514,1,female,0,0,1,1,5.6666665,180.70589,38.64706,37.588234,362.70255,310.58826,0.9726027
69,69,6.333333333,3.333333333,90,87,0.238095238,0.366666667,1,female,1,0,0,1,1.5833334,8.842105,56.842106,54.94737,55.999996,29.473682,0.96666664
70,70,2.433604336,2.780392157,210,598,0.429071804,0.301886792,1,male,0,0,0,,5.5833335,137.91045,37.61194,107.10448,335.61945,383.44513,2.847619
71,71,1.744094488,1.908602151,315,388,0.771117166,0.67218543,1,female,0,1,0,1,5.5833335,355.88058,56.41791,69.49254,620.6894,679.23444,1.2317461
72,72,1.814223512,1.611353712,3226,1345,0.556891026,0.562539087,1,male,0,0,0,,10.5,295.8095,307.2381,128.09525,536.66455,476.65375,0.41692498
